,idx,lat,lon,location_type,types
6247,126494,40.7509846,-73.9402762,GEOMETRIC_CENTER,['route']
6248,126496,40.8578912,-73.8910777,GEOMETRIC_CENTER,['intersection']
6249,126511,40.7189217,-73.974383,GEOMETRIC_CENTER,"['establishment', 'point_of_interest']"
6250,126512,40.7187451,-74.01223399999999,ROOFTOP,['street_address']
6251,126518,40.8656412,-73.9284007,GEOMETRIC_CENTER,['intersection']
6252,126529,40.674343,-73.9706415,GEOMETRIC_CENTER,['intersection']
6253,126541,40.762544,-74.0002883,GEOMETRIC_CENTER,['intersection']
6254,126556,40.6801621,-73.87658809999999,GEOMETRIC_CENTER,['intersection']
6255,126629,40.6870901,-73.9625387,GEOMETRIC_CENTER,['intersection']
6256,126639,40.6449571,-73.9743338,GEOMETRIC_CENTER,['intersection']
6257,126683,40.6096301,-74.14954999999999,GEOMETRIC_CENTER,['intersection']
6258,126695,40.791878,-73.96244209999999,RANGE_INTERPOLATED,['street_address']
6259,126705,40.8832065,-73.8248756,GEOMETRIC_CENTER,['intersection']
